distance_mm,absorbance,fraction_number,fraction_volume_ml
17.52,0.41371716751283777,NA,NA
17.55,0.40805935620011907,NA,NA
17.58,0.40113349821166705,NA,NA
17.61,0.3929879922755631,NA,NA
17.64,0.3861831311073145,NA,NA
17.67,0.37833769728531547,NA,NA
17.7,0.37160543420918907,NA,NA
17.73,0.36495060909799293,NA,NA
17.76,0.358402261188576,NA,NA
17.79,0.3519603904809382,NA,NA
17.82,0.34461830343098593,NA,NA
17.85,0.338476504837453,NA,NA
17.88,0.3326444581036411,NA,NA
17.91,0.3261638684135381,NA,NA
17.94,0.3207916095964998,NA,NA
17.97,0.31547258938035116,NA,NA
18,0.31019228814666755,NA,NA
18.03,0.30499426475072244,NA,NA
18.06,0.2992154566178002,NA,NA
18.09,0.2945546591035589,NA,NA
18.12,0.29013585522972457,NA,NA
18.15,0.28582836843047765,NA,NA
18.18,0.28088201842055593,NA,NA
18.21,0.2768600841169894,NA,NA
18.24,0.27254775744493437,NA,NA
18.27,0.2691453268608102,NA,NA
18.3,0.26584937347846505,NA,NA
18.33,0.26258245933296886,NA,NA
18.36,0.2594607413717168,NA,NA
18.39,0.25618414748060425,NA,NA
18.42,0.25364805412913755,NA,NA
18.45,0.2513103955628046,NA,NA
18.48,0.24873558322887285,NA,NA
18.51,0.2469496701626682,NA,NA
18.54,0.244500694521748,NA,NA
18.57,0.2425744251441072,NA,NA
18.57,0.24227435303000247,NA,NA
18.6,0.24095306775337957,NA,NA
18.63,0.23914295532313418,NA,NA
18.66,0.23759419602452858,NA,NA
18.69,0.2361083550724288,NA,NA
18.72,0.2353194558047016,NA,NA
18.75,0.23448215780889287,NA,NA
18.78,0.2335093433744562,NA,NA
18.81,0.23281724156289177,NA,NA
18.84,0.23206706127762972,NA,NA
18.87,0.23146691704942,NA,NA
18.9,0.23092969116771614,NA,NA
18.93,0.23040698490443676,NA,NA
18.96,0.23001011533416907,NA,NA
18.99,0.229802000803419,NA,NA
19.02,0.22956968690862806,NA,NA
19.05,0.2291970167024011,NA,NA
19.08,0.22877110789528454,NA,NA
19.11,0.2285871927285752,NA,NA
19.14,0.22854363387330187,NA,NA
19.17,0.22842747692590648,NA,NA
19.2,0.2283597187065924,NA,NA
19.23,0.2283597187065924,NA,NA
19.26,0.22836455857940055,NA,NA
19.29,0.2283500389609761,NA,NA
19.32,0.22833551934255167,NA,NA
19.35,0.2283500389609761,NA,NA
19.38,0.2283403592153598,NA,NA
19.41,0.22832099972412737,NA,NA
19.44,0.22829680036008662,NA,NA
19.47,0.22828712061447035,NA,NA
19.5,0.22828228074166218,NA,NA
19.53,0.22828712061447035,NA,NA
19.56,0.22825808137762144,NA,NA
19.59,0.2280644864652958,NA,NA
19.62,0.22767245676783615,NA,NA
19.65,0.2274159435090046,NA,NA
19.68,0.22724654796071972,NA,NA
19.71,0.2270093941931206,NA,NA
19.74,0.22660768475004478,NA,NA
19.77,0.2261769360701202,NA,NA
19.8,0.22569294878930585,NA,NA
19.83,0.2251121640523287,NA,NA
19.86,0.22460397740747376,NA,NA
19.89,0.22409095088981065,NA,NA
19.92,0.22346660729756032,NA,NA
19.95,0.2229293814158565,NA,NA
19.98,0.22239215553415265,NA,NA
20.01,0.2216952138497801,NA,NA
20.04,0.2209837525469831,NA,NA
20.07,0.22025293175295363,NA,NA
20.1,0.21952211095892404,NA,NA
20.13,0.21851541741483047,NA,NA
20.16,0.2176635998005973,NA,NA
20.19,0.2170586156995794,NA,NA
20.22,0.21622131770377084,NA,NA
20.25,0.21543241843604363,NA,NA
20.28,0.21435796667263596,NA,NA
20.31,0.21338999211100743,NA,NA
20.34,0.21241717767657073,NA,NA
20.37,0.21136208540439566,NA,NA
20.4,0.21031183300502873,NA,NA
20.43,0.2092615806056617,NA,NA
20.46,0.20853075981163222,NA,NA
20.49,0.20766442257897463,NA,NA
20.52,0.20685616382001482,NA,NA
20.55,0.20604306518824686,NA,NA
20.58,0.20519124757401383,NA,NA
20.61,0.20447978627121685,NA,NA
20.64,0.20355053069205348,NA,NA
20.67,0.2028826282445298,NA,NA
20.7,0.20225828465227944,NA,NA
20.73,0.20165330055126154,NA,NA
20.76,0.20110639492394142,NA,NA
20.79,0.20045785196765034,NA,NA
20.82,0.20008034188861526,NA,NA
20.85,0.19982866850259184,NA,NA
20.88,0.1996883121911557,NA,NA
20.91,0.19953343626129513,NA,NA
20.94,0.19925272363842284,NA,NA
20.97,0.19892845216027724,NA,NA
21,0.19895749139712612,NA,NA
21.03,0.19909784770856226,NA,NA
21.06,0.19927208312965544,NA,NA
21.09,0.19940275969547527,NA,NA
21.12,0.1996786324455394,NA,NA
21.15,0.2001722994719699,NA,NA
21.18,0.2007869633186041,NA,NA
21.21,0.2013532284371567,NA,NA
21.24,0.20200661126625605,NA,NA
21.27,0.20293586684541942,NA,NA
21.3,0.20387964204300724,NA,NA
21.33,0.20501701215292067,NA,NA
21.36,0.20605274493386314,NA,NA
21.39,0.2071029973332302,NA,NA
21.42,0.20854527943005666,NA,NA
21.45,0.20967296979435382,NA,NA
21.48,0.21115397087364546,NA,NA
21.51,0.21308508012409438,NA,NA
21.54,0.2149193919183804,NA,NA
21.57,0.2172038118838237,NA,NA
21.6,0.21927043757290066,NA,NA
21.63,0.22135642275321005,NA,NA
21.66,0.2235004864072172,NA,NA
21.69,0.22584782471916645,NA,NA
21.72,0.22895018318918586,NA,NA
21.75,0.23184442712845507,NA,NA
21.78,0.23483546852388723,NA,NA
21.81,0.238426654147529,NA,NA
21.84,0.24115150253851333,NA,NA
21.87,0.24531379315351598,NA,NA
21.9,0.24914213254475684,NA,NA
21.93,0.25326570417729427,NA,NA
21.96,0.2583766098626929,NA,NA
21.99,0.26294544979357953,NA,NA
22.02,0.2684871041589028,NA,NA
22.05,0.2727461922300683,NA,NA
22.08,0.2781523301567636,NA,NA
22.11,0.28464743946529086,NA,NA
22.14,0.29046980645348647,NA,NA
22.17,0.2975408606261828,NA,NA
22.2,0.3038714142592333,NA,NA
22.23,0.3092775521859286,NA,NA
22.26,0.31766021188963156,NA,NA
22.29,0.3249829394483514,NA,NA
22.32,0.33390766490656637,NA,NA
22.35,0.34200477211458885,NA,NA
22.38,0.35034387296301855,NA,NA
22.41,0.3601736546363562,NA,NA
22.44,0.36882734721731525,NA,NA
22.47,0.3777327131842975,NA,NA
22.5,0.38688007279168707,NA,NA
22.53,0.39614358934647204,NA,NA
22.56,0.4070236234191766,NA,NA
22.59,0.41653397348717675,NA,NA
