sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL37,4,0.070357,0.15851,0.226287,342,3,0.86947,0.86987,NA,1884,0,-0.23403,0.15851,0.226287,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ELOF1,4,0.23727,0.37287,NA,835,1,0.87007,0.87048,NA,1885,0,-0.037558,0.37287,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ELF1,4,0.41163,0.55973,NA,1203,2,0.87047,0.87095,NA,1886,0,-0.09515,0.55973,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TCEA1,4,0.042501,0.10471,NA,230,2,0.87177,0.87215,NA,1887,0,-0.098011,0.10471,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,STX18,3,0.14014,0.23277,NA,605,2,0.87259,0.8724,NA,1888,0,-0.1851,0.23277,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,FAM133B,4,0.11506,0.24086,NA,535,1,0.87266,0.87314,NA,1889,0,0.0096136,0.87314,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DYNC2H1,3,0.61127,0.62104,NA,1430,1,0.87277,0.8726,NA,1890,0,-0.022726,0.62104,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CCT6A,4,0.34378,0.48765,NA,1062,2,0.87286,0.87336,NA,1891,0,-0.041286,0.48765,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SEC62,4,0.77037,0.77497,NA,1687,1,0.87355,0.87408,NA,1892,0,0.020392,0.87408,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,BICC1,4,0.10648,0.2254,0.241127,493,3,0.87384,0.87441,NA,1893,0,-0.11681,0.2254,0.241127,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,KDM5A,4,0.096573,0.20753,NA,457,2,0.87394,0.87448,NA,1894,0,-0.051869,0.20753,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,KHNYN,4,0.43791,0.5771,NA,1236,1,0.87423,0.87472,NA,1895,0,0.016623,0.87472,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TDRD9,3,0.043035,0.10147,NA,232,2,0.87426,0.87397,NA,1896,0,-0.05468,0.10147,1,2
