treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,SERPINH1,0.19658,1,0.01633,day13,1.7614,NA
heavy,mono,rep1,SERPINH1,0.19658,1,0.01633,day7,0.65925,NA
heavy,mono,rep1,NKRF,0.15793,0.07361,0.02047,day13,0.58023,NA
heavy,mono,rep1,NKRF,0.15793,0.07361,0.02047,day7,0.469,0.154529
heavy,mono,rep1,NELFE,0.1448,0.07361,0.020579,day13,-0.025214,NA
heavy,mono,rep1,NELFE,0.1448,0.07361,0.020579,day7,0.073888,NA
heavy,mono,rep1,YLPM1,0.21241,0.07361,0.020647,day13,0.56598,NA
heavy,mono,rep1,YLPM1,0.21241,0.07361,0.020647,day7,0.57397,NA
heavy,mono,rep1,USP39,0.16005,0.074048,0.020995,day13,-5.8896,0.006165
heavy,mono,rep1,USP39,0.16005,0.074048,0.020995,day7,-2.545,0.007207
heavy,mono,rep1,SIDT1,0.1626,0.074272,0.021285,day13,1.5997,0.04042
heavy,mono,rep1,SIDT1,0.1626,0.074272,0.021285,day7,0.51624,NA
heavy,mono,rep1,LRRC47,0.2487,0.076475,0.02215,day13,-0.71452,0.374962
heavy,mono,rep1,LRRC47,0.2487,0.076475,0.02215,day7,-0.69191,0.223991
heavy,mono,rep1,SYMPK,0.23675,1,0.022182,day13,-3.0122,0.053275
heavy,mono,rep1,SYMPK,0.23675,1,0.022182,day7,-1.7792,0.019717
heavy,mono,rep1,WBP11,0.13955,0.076475,0.022463,day13,-1.4404,0.365093
heavy,mono,rep1,WBP11,0.13955,0.076475,0.022463,day7,-0.74287,0.206787
heavy,mono,rep1,SRSF1,0.21008,0.076475,0.022952,day13,-4.5851,0.059539
heavy,mono,rep1,SRSF1,0.21008,0.076475,0.022952,day7,-1.0888,0.027073
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day13,-0.33381,NA
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day7,-0.0020638,NA
heavy,mono,rep1,FAM32A,0.27823,0.076475,0.023564,day13,-0.37892,NA
heavy,mono,rep1,FAM32A,0.27823,0.076475,0.023564,day7,-1.0148,NA
heavy,mono,rep1,NAF1,0.11548,0.076475,0.02403,day13,0.18557,NA
heavy,mono,rep1,NAF1,0.11548,0.076475,0.02403,day7,0.28889,0.309686
heavy,mono,rep1,NRAP,0.096734,0.076475,0.024225,day13,1.0663,NA
heavy,mono,rep1,NRAP,0.096734,0.076475,0.024225,day7,0.40985,0.266717
heavy,mono,rep1,SAP130,0.14132,0.076475,0.024533,day13,0.71441,NA
heavy,mono,rep1,SAP130,0.14132,0.076475,0.024533,day7,0.61341,0.147309
heavy,mono,rep1,SFSWAP,0.15559,0.076475,0.024587,day13,-2.0288,0.114552
heavy,mono,rep1,SFSWAP,0.15559,0.076475,0.024587,day7,-0.29006,NA
heavy,mono,rep1,SUPT16H,0.16737,1,0.024669,day13,-5.1701,0.011532
heavy,mono,rep1,SUPT16H,0.16737,1,0.024669,day7,-2.0932,0.006688
heavy,mono,rep1,NFX1,0.17981,0.076475,0.024809,day13,0.40523,NA
heavy,mono,rep1,NFX1,0.17981,0.076475,0.024809,day7,-0.21285,NA
heavy,mono,rep1,SAP30BP,0.24891,1,0.024995,day13,-3.1132,0.173218
heavy,mono,rep1,SAP30BP,0.24891,1,0.024995,day7,-1.8835,0.03654
heavy,mono,rep1,PAICS,0.17269,0.076475,0.025072,day13,0.78382,NA
heavy,mono,rep1,PAICS,0.17269,0.076475,0.025072,day7,0.35261,0.305245
heavy,mono,rep1,CWF19L2,0.15962,0.076475,0.025226,day13,-0.069918,NA
heavy,mono,rep1,CWF19L2,0.15962,0.076475,0.025226,day7,0.23321,NA
heavy,mono,rep1,DUSP14,0.17221,0.076475,0.025267,day13,0.60347,NA
heavy,mono,rep1,DUSP14,0.17221,0.076475,0.025267,day7,0.098925,NA
heavy,mono,rep1,FKBP1A,0.1814,0.076475,0.025534,day13,-0.20302,NA
heavy,mono,rep1,FKBP1A,0.1814,0.076475,0.025534,day7,-0.25064,NA
