Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
22.91,0.32311079466902615,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.01,0.3002578388541724,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.12,0.2884546258917215,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.21,0.27731501963169825,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.31,0.26640007189072606,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.41,0.24488815462036165,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.51,0.23550088480893655,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.61,0.22660095116960677,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.71,0.21672634518608636,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.8,0.20212699773267706,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
23.91,0.1964828844771332,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24,0.18556102416634407,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.1,0.17995147375988496,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.2,0.17248935464248186,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.3,0.16571503622186584,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.4,0.1572540507659127,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.5,0.1536318641818282,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.59,0.146805701487585,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.7,0.14152449814743126,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.8,0.13614997511474863,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.89,0.13298747442349165,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
24.99,0.1272949731792291,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.09,0.12317162528341535,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.19,0.12087665210418623,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.29,0.11527055798263561,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
25.39,0.11266451916164352,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
