type,day,gene,A,B
grna,day 21,ALYREF,-1.6683,-3.0595
total,day 21,SUPT4H1,-4.0535,-4.1798
grna,day 5,INTS11,-1.4478,-0.84482
total,day 5,PSMA2,-1.146,-2.0817
grna,day 13,SF3A1,-2.9987,-2.0277
grna,day 21,THG1L,-1.2087,-2.4432
grna,day 5,RPS27A,-1.4606,-1.8867
total,day 5,SF3A1,-0.6688,-1.3
grna,day 13,RPS7,-2.5537,-1.3285
total,day 13,RAN,-3.5204,-4.853
grna,day 21,UBA52,-1.9815,-3.1483
total,day 21,SRSF2,-4.3205,-3.607
total,day 5,EIF2S3,-1.7711,-0.77349
grna,day 13,DDX19A,-0.86391,-3.808
total,day 13,RPS3,-4.7095,-4.889
total,day 21,PSMD7,-1.5037,-4.5489
grna,day 5,SETD1B,-1.6896,-0.57573
total,day 5,RPL32,-1.2621,-0.68549
grna,day 13,MRPL57,-2.7941,-1.5773
total,day 13,VARS1,-4.0862,-4.978
grna,day 21,DIS3,-2.6062,-1.0487
total,day 21,MRPL33,-4.191,-1.4366
grna,day 5,RPS15,-1.6309,0.43701
total,day 5,MFAP1,-1.5452,-0.6385
total,day 13,NAT10,-4.0049,-4.2436
grna,day 21,DROSHA,0.17802,-2.4023
total,day 21,PHAX,-3.4577,-3.9376
grna,day 5,CEP43,-1.3807,-0.22615
total,day 5,COPB1,-1.9595,-1.2102
grna,day 13,PRPF19,-2.9828,-3.0478
grna,day 21,MRM2,-0.90875,-2.5277
total,day 21,PSMC2,-4.4466,-3.3941
grna,day 5,ENDOU,1.0301,-1.8742
total,day 5,RPS15A,-0.77039,-1.3019
grna,day 13,NAA15,-1.2239,-0.17544
grna,day 21,NOB1,-1.9839,-2.2546
total,day 21,BUD23,-3.0896,-4.6565
grna,day 5,ELAC1,-1.7131,0.75426
grna,day 13,EIF2S3,-2.2325,-2.9539
grna,day 21,MRPL10,-2.1401,-2.4344
total,day 21,PLRG1,-3.2431,-3.0455
grna,day 5,CCDC137,0.56469,-0.82941
total,day 5,RPS4X,-1.6818,-1.3794
grna,day 13,EIF2S1,-2.7874,-1.3122
total,day 13,PSMC1,-5.1546,-3.0322
total,day 21,POP5,-3.4466,-1.8053
grna,day 5,RPS14,-2.4561,-0.40165
total,day 5,RPS26,-1.4585,-1.0962
grna,day 13,CCT2,-1.6038,-3.0692
total,day 13,SNRPF,-4.5561,-5.0244
grna,day 21,PDE12,-2.3902,0.8748
total,day 21,RPLP0,-4.4051,-3.9203
grna,day 5,RPL22,1.0577,-1.1781
total,day 5,FAU,-1.7063,-1.6149
grna,day 13,SNRPD3,-3.1773,-2.3439
total,day 13,RBM39,-3.5252,-4.0904
total,day 21,SNRPD1,-3.0203,-4.5262
grna,day 5,RPS26,-0.79341,-1.3549
grna,day 13,NUDT21,-1.3352,-2.6202
total,day 13,EIF2S3,-5.2033,-1.9566
grna,day 21,EIF6,0.16425,-2.472
total,day 21,DDX19A,-0.70141,-5.2811
grna,day 5,NAA15,-0.33524,-0.56489
grna,day 13,MAK16,-1.1323,-2.4823
total,day 13,ATP5F1A,-4.062,-3.9498
grna,day 21,MRPS2,-2.4689,-1.6462
total,day 21,DDX59,-4.3477,-1.6652
grna,day 5,PUF60,-0.86616,-1.7391
total,day 5,DHX8,-0.89086,-1.4334
grna,day 13,VARS1,-2.327,-3.2061
total,day 13,INTS3,-3.9318,-4.051
grna,day 21,MRPL18,-0.47948,-2.6909
total,day 21,RPL23A,-4.307,-3.7299
grna,day 5,DNTTIP2,0.47046,-2.4237
total,day 5,PRPF38A,-1.0172,-0.8091
grna,day 13,YARS1,-2.4643,-1.5792
total,day 13,POLR2B,-2.3527,-4.6243
grna,day 21,RPS29,-1.8246,-2.5555
grna,day 5,PRPF40B,-1.8307,0.59305
total,day 5,RPS14,-1.7193,-2.1024
grna,day 13,SMC1A,-2.8913,-1.2106
total,day 13,RPP21,-3.9027,-3.0469
grna,day 21,EIF3D,-2.6641,-1.9746
total,day 21,EIF4G1,-2.6413,-4.2001
grna,day 5,XPO5,-0.93953,0.53197
total,day 5,PSMC1,-1.2248000000000001,-0.51416
grna,day 21,PDCD7,-2.7552,-2.457
total,day 21,NOP56,-2.3077,-3.962
grna,day 5,PRPF19,-0.11025,-1.522
total,day 5,VCP,-1.4398,-1.8716
total,day 13,SF3B1,-4.1706,-4.4276
grna,day 21,RPS23,-0.60339,-1.8974
total,day 21,CCT6A,-3.9329,-2.9829
