type,day,gene,A,B
grna,day 13,RPL12,-2.8179,-0.62239
total,day 13,NAPA,-1.8251,-5.3099
grna,day 21,RPUSD4,-1.9077,-2.426
grna,day 5,ESF1,-0.89929,-0.2927
total,day 5,RPL15,-1.1243,-0.70297
grna,day 13,RPL21,-2.0216,-3.0785
grna,day 21,RUVBL1,-3.2708,-1.5977
total,day 21,DDX27,-3.6554,-2.8843
grna,day 5,NCBP2,-2.0773,-0.57049
grna,day 13,USP39,-2.3963,-2.1569
total,day 13,RPL31,-3.8162,-4.2454
grna,day 21,MRPL49,-2.2247,-1.6326
total,day 21,RPS20,-2.4335,-4.7735
grna,day 5,BUD23,-1.6989,0.033524
grna,day 13,SRSF3,-1.2775,-2.629
grna,day 21,NGDN,-3.3225,-1.5464
grna,day 5,FBRSL1,0.24942,0.048569
total,day 5,GNL1,0.13897,-1.0683
grna,day 13,NFS1,-3.0377,-1.6236
total,day 13,RPSA,-4.4152,-2.8243
grna,day 21,IMP3,-2.7845,0.068236
total,day 21,EIF5,-3.8371,-0.46125
grna,day 5,TUT1,-2.2472,-0.58138
grna,day 13,EEF2,-1.9707,-0.60633
grna,day 21,RPL32,-2.3841,-2.2893
total,day 21,RPS27A,-4.2952,-3.5715
grna,day 5,WDR6,0.084141,-0.033277
grna,day 13,SRSF2,-2.7166,-1.901
grna,day 21,ADAD1,-0.84098,0.8526
total,day 21,CCT4,-3.5117,-3.5771
grna,day 5,PELO,-2.1608,-0.17644
total,day 5,CCT6A,-0.74698,-1.3728
grna,day 13,RAE1,-3.0911,-2.8614
total,day 13,RPL18,-3.5021,-3.6694
grna,day 21,PLRG1,-2.972,-2.0122
total,day 21,USO1,-3.8577,-3.1764
grna,day 5,POLR2H,-1.5394,-2.4169
total,day 5,RBM8A,-1.8484,-1.3703
grna,day 13,PNPT1,-1.4273,-2.5467
total,day 13,EIF3I,-5.4133,-5.2013
grna,day 21,MRPL38,-2.619,-2.2105
total,day 21,NXF1,-1.5949,-4.4391
grna,day 5,RPL32,-1.6348,-0.78826
grna,day 13,SRPRB,-1.1418,-3.1092
total,day 13,DDX52,-2.8271,-3.9169
grna,day 21,RSL24D1,-2.8432,-3.0045
total,day 21,NIP7,-4.1779,-4.4893
grna,day 5,HNRNPA1L2,-1.6868,-0.41061
total,day 5,CCT3,-0.054184,-1.1169
grna,day 13,RTCB,-1.9839,-2.5337
total,day 13,RRM1,-4.8913,-5.0571
grna,day 21,AIMP2,-0.27259,-1.7792
total,day 21,LSM7,-4.0168,-3.3882
grna,day 5,AIMP2,0.45737,-1.4178
grna,day 21,DDX42,-2.7302,-2.2456
total,day 21,NOP16,-4.8286,-4.2984
grna,day 5,MAT2A,-0.8062,0.010288
total,day 5,EIF2B3,-0.3464,-0.64782
grna,day 13,RRP12,-2.8105,-2.2632
total,day 13,TUT1,-4.3294,-3.8968
grna,day 21,SF1,-2.0691,-2.3227
total,day 21,GAPDH,-4.8544,-3.3045
grna,day 5,IGF2BP3,0.38862,2.3792
grna,day 13,UBTF,-2.5023,NA
total,day 13,RPL37,-4.9134,-5.3764
grna,day 21,MTPAP,-2.6689,0.69415
total,day 21,IARS1,-3.7871,-2.6844
grna,day 5,VCP,-1.619,-0.99378
total,day 5,KRT18,-0.88469,-1.0547
grna,day 13,CCT6A,-2.9427,-2.8023
total,day 13,NUP98,-4.9869,-2.6394
grna,day 21,PSMD7,0.48188,-2.8924
total,day 21,PSMD6,-3.885,-3.928
grna,day 5,CC2D1B,-0.52368,0.11811
total,day 5,NXF1,-1.0385,-1.1105
grna,day 13,MRPL38,-2.3247,-2.5173
total,day 13,PRPF4,-3.591,-5.1903
grna,day 21,ELP2,-2.044,-1.0057
total,day 21,RBM39,-2.4656,-3.2856
grna,day 5,RPL35,-0.78237,-1.6989
total,day 5,XAB2,-0.93625,-1.1993
total,day 13,PPAN,-4.4455,-4.7901
grna,day 21,MRPL13,-1.6624,-2.5685
total,day 21,HSPA8,-3.1552,-4.4548
grna,day 5,NOP53,-0.97036,-1.2213
total,day 5,NOP58,-0.90878,-0.56127
grna,day 13,RPL7,-2.5652,-3.6645
total,day 13,DIMT1,-3.5766,-2.6569
grna,day 21,SCAMP2,0.43433,0.54166
total,day 21,RPL24,-4.4511,-3.7508
grna,day 5,SRP54,-1.3051,-0.020693
total,day 5,RPL17-C18ORF32,-1.7131,-1.0919
grna,day 13,LONP1,-2.5182,-2.2032
total,day 13,MAK16,-3.5933,-4.41
grna,day 21,DDX6,-2.4874,-2.5014
total,day 21,CCT3,-3.3916,-4.0297
grna,day 5,IFIT1,0.46319,-1.8211
grna,day 13,EIF3G,-2.9329,-3.2803
total,day 13,DHX33,-4.0098,-1.1916
grna,day 21,RPL36A,1.6552,-1.0067
total,day 21,RRP12,-3.3003,-3.7221
grna,day 5,EARS2,-0.011417,0.28511
total,day 5,RSL24D1,-0.52623,-0.80033
total,day 13,RPL5,-5.0222,-3.7327
grna,day 21,PRPF3,-0.59558,-3.2139
total,day 21,RARS2,-3.4869,-2.851
grna,day 5,LIN28A,-1.1389,-0.30654
total,day 13,RPS12,-3.1675,-4.2491
grna,day 21,RPL35A,-2.361,-2.4242
total,day 21,SF3B5,-4.5641,-3.5417
grna,day 5,ALKBH6,-1.6155,0.62131
total,day 5,EIF2B4,-1.1381,-1.0029
grna,day 21,U2AF1,-3.3508,-0.40432
total,day 21,NAT10,-4.4739,-3.2103
grna,day 5,EIF5,-1.0465,0.54676
total,day 5,RPS9,-0.46668,-1.3682
total,day 13,IARS2,-2.613,-4.6362
grna,day 21,MRPL3,-2.5678,-2.6374
total,day 21,HUWE1,-3.5022,-2.8189
grna,day 5,WDR4,-1.0528,-0.54529
total,day 5,EIF3D,-0.79485,-1.001
grna,day 13,CSTF1,-3.6374,-1.3293
grna,day 21,POLR2F,-2.7492,-2.3801
total,day 21,DHX15,-3.8064,-4.5799
grna,day 5,CAPRIN1,0.094258,0.56786
total,day 5,EFTUD2,-1.0484,-1.1768
grna,day 13,RPL31,-2.8085,-2.1658
grna,day 21,NAA15,-2.4689,-0.017645
total,day 21,DKC1,-3.7875,-1.4961
grna,day 5,RCC2,0.89918,-1.9064
grna,day 21,RPS28,-1.7986,-3.4346
grna,day 5,NOS3,-1.5805,-0.44802
grna,day 13,SF1,-2.4475,-2.2733
grna,day 21,SNRPD2,-1.7887,-2.6371000000000002
total,day 21,RPS23,-1.8038,-4.283
grna,day 5,ZC3H18,-0.60091,-1.7788
grna,day 13,SF3B5,-2.2963,-1.05
total,day 13,RPL26,-4.6236,-2.7801
grna,day 21,NSUN3,-1.4144,-1.9655
total,day 21,URB2,-1.5263,-4.0783
grna,day 5,DAZ4,-0.96139,-1.6562
total,day 5,RPL30,-1.0559,-0.80462
grna,day 21,EIF2B3,-2.0403,-2.5541
grna,day 5,URM1,0.28547,-0.1534
total,day 5,RPS18,-0.8221,-1.5931
grna,day 13,PHAX,-2.7997,-1.8072
total,day 13,RPL23,-4.8337,-3.358
grna,day 21,MRPL43,-1.1223,-3.2014
total,day 21,NOP10,-0.87707,-3.3268
grna,day 5,POLR2J,-2.0792,-1.8977
total,day 5,SF3A3,-0.36961,-1.0174
grna,day 13,EEF1A1,-3.0981,-2.6515
total,day 13,URB2,-2.44,-4.3563
grna,day 21,RBM7,-0.34383,0.11476
grna,day 13,DUT,-1.607,-2.1216
total,day 13,RPS28,-4.7876,-5.1101
grna,day 21,BUD23,-1.285,-2.5651
total,day 21,EARS2,-1.4344,-3.469
grna,day 5,MRPL38,-0.66865,-0.62899
total,day 5,SRSF3,-1.2592,-1.295
grna,day 13,TUBGCP3,-2.1788,-3.1366
total,day 13,POLR2J3,-4.1699,-4.6569
total,day 21,SF3A2,-4.2467,-3.8163
grna,day 5,NOS2,0.5648,-1.0909
grna,day 13,MRPL23,-3.131,-1.7806
total,day 13,ERH,-3.3877,-4.5259
grna,day 21,CPSF4,-2.5059,-2.3127
grna,day 5,SETD1A,-0.22727,-0.83411
grna,day 13,BUD23,-1.8705,-2.864
grna,day 21,RPS20,-0.63043,-2.7841
grna,day 5,RC3H2,-0.084294,0.36433
grna,day 13,NOP53,-1.2532,-2.7632
total,day 13,PRPF38A,-4.8724,-4.4401
total,day 21,SNRPG,-2.9413,-3.8957
grna,day 5,LDHB,-0.10285,-1.7268
total,day 5,PRPF8,-0.92305,-0.60631
grna,day 13,EEF1G,-2.6081,-2.3654
total,day 13,NHP2,-3.4865,-3.283
grna,day 21,SDAD1,-1.8316,-2.6317
total,day 21,TOP2A,-4.3391,-1.8464
grna,day 5,COPS2,-0.98994,-0.37536
grna,day 13,WDR3,-1.3237,-3.1946
total,day 13,NOP14,-4.0325,-2.0001
grna,day 21,DDX19A,-0.28174,-3.22
total,day 21,SFPQ,-4.5702,-4.4225
grna,day 5,POLR2J3,-0.28581,-1.0522
total,day 5,RPL39,-1.1344,-1.5852
grna,day 13,SRP54,-2.7946,-0.29091
total,day 13,PSMA1,-3.8006,-1.9243
total,day 21,POLR2K,-3.4364,-3.5484
grna,day 5,HARS1,-1.3841,-0.3283
total,day 5,HSPA9,-0.90508,-1.1459
grna,day 13,EXOSC6,-1.0548,-1.6178
grna,day 21,RPL17-C18ORF32,-0.19801,-2.1438
total,day 21,SF3B1,-3.2803,-3.328
grna,day 5,RPL29,-2.1676,-0.81297
total,day 5,RAN,-1.3416,-1.1828
grna,day 13,CPSF3,-1.4959,-2.8018
grna,day 21,MAT2A,-1.2748,-0.44819
total,day 21,RUVBL1,-4.5532,-3.2828
grna,day 5,MRPS23,0.30477,-0.37223
total,day 5,SF3B2,-0.97534,-0.87043
grna,day 13,EIF5,-2.8254,-0.68124
total,day 13,SSU72,-4.5997,-4.3265
grna,day 21,PSMA1,-2.4662,-1.8961
total,day 21,RACK1,-4.0722,-3.3983
grna,day 5,SNRPD3,-1.4452,0.13957
total,day 5,EIF2B5,-0.94143,-0.80016
grna,day 13,UTP20,-1.4946,-3.2566
total,day 13,AARS1,-4.5224,-3.5957
grna,day 21,ATP5F1B,-2.3975,-2.0177
total,day 21,WDR75,-2.1788,-3.0687
grna,day 5,RANGRF,-0.6009,-1.0183
total,day 5,USP39,-0.92526,-0.61652
grna,day 13,RPL13A,-1.1547,-2.2709
grna,day 21,MRPL20,-1.7278,-1.4972
total,day 21,TARS2,-3.039,-3.4711
grna,day 5,NIP7,0.10402,-0.28311
total,day 5,TUT1,-1.0553,-0.24476
grna,day 21,RPS3,-1.8283,-2.4372
total,day 21,SRP14,-3.7457,-3.882
grna,day 5,ENOX1,-2.2505,-0.92017
total,day 5,CCT4,-1.1512,-0.69626
grna,day 13,ADAD1,-0.64386,0.16816
total,day 13,CEBPZ,-4.5763,-3.8563
grna,day 21,C12ORF65,-1.3378,0.568
total,day 21,TRMT61A,-4.253,-3.8753
grna,day 5,DUT,0.12745,-0.13437
total,day 5,DDX10,-0.82749,-0.40413
grna,day 13,POLR2D,-2.6364,-1.2626
total,day 13,ISY1,-2.7129,-4.2476
total,day 21,SRSF7,-4.2528,-3.2437
grna,day 5,IPO7,-1.277,-0.3439
total,day 5,RPL34,-1.3492,-1.0062
grna,day 13,ALDOA,-1.9183,-2.6023
grna,day 21,RPS6,-2.5195,-1.4019
total,day 21,SNRPD3,-4.1986,-3.8873
grna,day 5,CPSF7,-1.3756,0.10411
total,day 5,EIF4E,-1.3052,-1.0494
grna,day 13,EXOSC2,-2.0371,-2.2464
total,day 13,MRPL4,-3.183,-2.0115
grna,day 21,XRCC5,-2.7901,-1.1052
total,day 21,EIF3G,-4.3348,-3.7129
grna,day 13,NBPF10,-2.2216,-2.6096
total,day 13,EIF2S1,-4.9612,-4.636
grna,day 21,MRPS18A,-1.0151,-2.131
total,day 21,NAPA,-2.903,-4.3925
grna,day 5,INTS4,-0.56091,-1.0732
grna,day 13,POLR2J3,-2.9883,-2.3835
grna,day 21,SF3A1,-2.4114,-1.4748000000000001
total,day 21,HEATR1,-3.5828,-3.4031
grna,day 5,RPS20,-1.5409,-0.66404
total,day 5,LSM2,-0.9574,-1.0981
grna,day 13,MRPL3,-2.801,-3.225
total,day 13,INTS1,-3.7422,-4.1516
grna,day 21,DHX9,-2.4087,-1.5218
total,day 21,NCBP1,-4.1107,-3.5527
grna,day 5,CCT6A,-0.98813,-0.87663
total,day 5,TCP1,-1.0631,-0.85745
grna,day 13,RPL15,-1.4531,-3.52
grna,day 21,ALDOA,-1.3604,-2.0162
grna,day 5,PPIL4,-0.62553,-2.2922
total,day 5,CCT7,-1.1324,-0.5605
grna,day 21,PNN,-1.5423,-1.2486
total,day 21,NOP14,-3.648,-1.5472
grna,day 5,HNRNPUL1,-0.1478,-0.21165
total,day 5,ALDOA,-1.157,-0.58165
total,day 13,RPL23A,-5.4072,-4.8297
grna,day 21,CCDC137,-0.25877,-0.68035
total,day 21,UBE2I,-4.3155,-0.74275
grna,day 5,TBL3,0.72137,-0.93558
total,day 21,MRPS23,-3.6734,-3.3294
grna,day 5,ZCCHC9,-2.2486,0.48621
total,day 13,RPS15,-4.6213,-3.8309
grna,day 21,DBR1,-2.6458,-2.4892
grna,day 5,CDK9,-1.1907,0.56298
total,day 5,EIF4A3,-1.5145,-1.5422
total,day 13,YARS1,-3.0756,-4.7751
grna,day 21,SNUPN,-2.0788,-0.024252
total,day 21,MRPL20,-3.5006,-2.7404
grna,day 5,NOP56,0.01486,-1.5768
total,day 5,RUVBL1,-0.77131,-1.1485
grna,day 13,RBM7,-0.10499,0.90376
total,day 13,ARCN1,-3.5213,-3.0876
grna,day 21,MTDH,1.8986,-0.31675
total,day 21,SNRNP40,-3.6767,-2.5106
grna,day 5,MRPS12,-0.29779,-1.1693
total,day 5,CLP1,-0.41188,-1.2152
grna,day 13,RPL4,-2.9202,-0.025189
total,day 13,LSM8,-4.9274,-3.1998
total,day 21,LSG1,-4.6738,-2.4416
grna,day 5,FAU,-1.0896,-0.70274
total,day 5,EEF1A1,-0.77357,-0.56019
grna,day 13,PRPF31,-2.2487,-1.8777
total,day 13,RPL34,-4.7808,-4.8894
grna,day 21,EXOSC6,-2.6327,-2.229
grna,day 5,DBI,0.1317,-1.4125
total,day 5,RPL18A,-0.57732000000000006,-1.2502
total,day 13,SNRPG,-3.9544,-4.3749
grna,day 21,RBM19,-2.7759,-1.7233
total,day 21,RPA1,-3.8137,-3.561
grna,day 5,PRPF18,0.58958,-1.2403
grna,day 13,DDX3X,-2.8708,-0.72113
total,day 13,RPLP2,-2.9091,-3.9619
grna,day 5,KPNB1,-0.66987,-1.6105
total,day 13,NUDT21,-2.4845,-4.9159
total,day 21,SNRPA1,-0.86906,-3.4856
grna,day 5,PUM2,-0.14716,-0.32341
total,day 5,INTS11,-0.76792,-0.553
grna,day 13,RPL18A,-2.3688,-2.3081
grna,day 21,UBTF,-1.9379,NA
total,day 21,PSMA4,-2.2001,-5.0904
grna,day 5,DDX5,-1.3488,0.7422
total,day 5,EIF4G1,-0.99235,-0.72271
grna,day 13,NACA,-1.8843,-1.5992
total,day 13,POLR2A,-4.1798,-3.981
total,day 21,NOC4L,-3.0533,-4.6161
grna,day 5,CEBPZ,-0.4036,-1.2346
grna,day 13,HARS1,-2.0382,-0.60991
total,day 13,INTS4,-4.785,-3.4339
total,day 21,SUPV3L1,-2.569,-4.4215
grna,day 5,CS,-0.97927,0.21747
total,day 5,TUBB,-0.89789,-1.1911
grna,day 13,SCAMP2,0.48902,-0.36552
total,day 13,CCT6A,-4.6889,-4.082
grna,day 21,RPL6,-2.0619,-0.79423
total,day 21,ELP5,-3.2786,-3.4642
grna,day 5,KRR1,-1.3591,-0.84177
total,day 5,RBM22,-0.70907,-0.60052
grna,day 13,UBC,-0.14369,0.47598
total,day 13,POLR2K,-4.5172,-3.8277
grna,day 21,RNASEL,0.081018,-0.62731
total,day 21,GTPBP4,-4.495,-2.5626
grna,day 5,TENT2,-0.62648,0.2235
grna,day 13,C9ORF114,-2.0182,-2.1827
total,day 13,CCT4,-4.5828,-3.341
grna,day 21,CYCS,-2.2546,-2.6894
grna,day 5,EIF3G,-1.1324,-0.54725
total,day 5,DCPS,-0.27964,0.21886
total,day 13,SF3B2,-3.772,-2.4251
grna,day 21,SUPT4H1,-1.8691,-3.1517
total,day 21,MRPL52,-4.1916,-3.4056
grna,day 13,HMGA1,-2.086,0.42602
total,day 13,MTREX,-4.5726,-3.4548
grna,day 21,EIF2S1,-2.2003,-0.7282
grna,day 5,LLPH,0.24383,-0.66899
total,day 5,EIF2S2,-1.2825,-1.7884
grna,day 13,AIMP2,-0.37743,-0.9694
total,day 13,HNRNPK,-3.2441,-4.8789
grna,day 21,MTERF4,-1.7679,-1.4092
total,day 21,RPL10A,-4.0938,-4.1827
grna,day 13,INTS8,-2.5423,-2.6964
total,day 13,PSMA2,-2.6443,-4.3097
grna,day 21,NOL9,-1.9383,-1.8818
total,day 21,WDR3,-2.6902,-4.1952
grna,day 5,DLAT,-1.079,0.58241
total,day 5,UBA52,-1.2616,-0.87502
grna,day 13,RPS19,-2.7186,-1.3777
total,day 13,TCP1,-2.5839,-3.1629
grna,day 21,CRNKL1,-2.4369,-1.6936
total,day 21,TUBGCP3,-3.07,-3.2428
grna,day 13,DHX15,-3.4776,-2.6383
total,day 13,SDAD1,-3.1142,-4.7101
total,day 21,TUBA1B,-3.6547,-2.6302
grna,day 5,RPL5,0.005149,-2.1261
total,day 5,EIF4A1,-1.4531,-0.85272
grna,day 13,ATP5F1B,-2.8247,-1.9191
total,day 21,UBA52,-2.9227,-2.7734
grna,day 5,PPP1CC,0.05815,-0.54228
total,day 5,RPL24,-1.0296,-0.88228
grna,day 13,CCT3,-1.1413,-2.6142
total,day 13,UTP6,-5.0924,-3.0808
grna,day 21,BMS1,-0.76799,-3.126
total,day 21,CLP1,-2.8331,-3.9118
grna,day 5,LSM3,-1.6608,0.026233
total,day 5,PRPF38B,-0.1093,-0.68804
grna,day 13,IARS2,-1.315,-2.8128
total,day 13,SNRPD1,-3.6925,-3.2838
grna,day 21,TAF2,-1.534,0.60112
total,day 21,DBR1,-3.3782,-3.7709
grna,day 5,FBL,-0.28695,-0.9889
grna,day 13,PSMB3,-0.62745,-3.4595
grna,day 21,NXF2B,-0.57158,-0.51913
total,day 21,NOP9,-2.2847,-3.6055
grna,day 5,CNN3,-0.17137,-0.76828
total,day 5,SYMPK,-0.89555,-0.47794
grna,day 13,EIF3I,-2.1079,-2.5683
total,day 13,PSMC4,-4.2581,-3.4289
grna,day 21,INTS2,-1.2787,-2.7616
total,day 21,AARS1,-4.3579,-3.4435
grna,day 13,MFAP1,-2.7138,-2.2786
total,day 13,RPS8,-3.5486,-4.3494
grna,day 21,EIF4A1,0.56507,-2.0429
grna,day 5,URB1,-0.88272,-0.077728
grna,day 13,RPL3,-1.594,-2.6038
total,day 13,RPL18A,-4.8777,-2.7038
grna,day 21,SNRPD3,-2.5898,-1.7574
total,day 21,DDX20,-3.6048,-4.6923
grna,day 5,ENO1,-1.4335,0.49397
total,day 5,NOP56,-0.77378,-0.93546
grna,day 13,CHERP,-1.1262,0.94102
total,day 13,RPL7A,-4.9155,-3.5931
grna,day 21,RPS7,-2.444,-1.856
total,day 21,MTG1,-4.3303,-3.9282
grna,day 5,RPS13,-1.212,-1.2009
total,day 5,EIF3B,-0.99791,-1.5492
total,day 13,RPL17,-3.4926,-4.3872
grna,day 21,WDR46,-1.3359,-1.6297
total,day 21,MRPL41,-2.3304,-3.4367
grna,day 5,CAT,-0.33246,-0.15352
grna,day 13,WDR33,-1.6194,-2.8417
total,day 13,RPL13A,-1.7251,-5.7489
grna,day 21,TSFM,-2.4587,-2.484
total,day 21,TUFM,-3.2721,-3.5241
grna,day 5,FKBP1A,-0.47084,-1.4455
total,day 5,HMGB1,-1.3635,-0.69441
total,day 21,PRPF31,-3.3741,-3.6344
total,day 5,EIF3E,-1.1837,-0.51213
grna,day 13,SRPRA,-2.2753,0.67479
total,day 13,ALDOA,-4.0876,-3.0889
grna,day 21,HSD17B10,-1.44,-2.9652
total,day 21,RPL27,-3.2458,-3.539
grna,day 5,U2AF1L4,0.066299,1.1806
grna,day 13,SEC61A1,-0.47033,-3.44
grna,day 21,PRPF19,-1.9953,-2.2563
total,day 21,POP1,-4.5044,-3.7873
grna,day 5,RPP21,-1.6962,1.1533
total,day 5,RPL10,-0.8116,-0.86075
grna,day 13,DDX21,-2.2131,-2.9113
total,day 13,NIP7,-3.5837,-4.3439
grna,day 21,SNRPF,-0.72607,-2.0582
total,day 21,RPS4X,-4.3906,-1.3289
grna,day 5,MTERF4,-1.1146,-0.56364
total,day 5,RPL27A,-1.1886,-1.0804
grna,day 13,INTS1,-0.13351,-3.2541
total,day 21,VARS2,-3.9497,-3.2576
grna,day 5,TPX2,-0.44289,-1.7983
total,day 5,GDI2,0.41136,-1.899
total,day 13,TNPO3,-3.5035,-2.6221
grna,day 21,YARS1,-1.8777,-1.0284
total,day 21,MAK16,-3.7442,-3.3105
grna,day 5,SF3B3,-2.0719,-1.1432
grna,day 21,SLU7,-0.32904,-3.302
total,day 21,RPS13,-4.4338,-4.2608
grna,day 5,RPS24,-1.0742,-0.29264
total,day 5,RPL11,-1.0468,-1.2967
grna,day 13,RPL22,-1.9936,-2.8566
total,day 13,INTS8,-3.0894,-4.3448
grna,day 21,LSM7,-1.8622,-0.47828
grna,day 5,OSGEP,-0.27829,0.92505
total,day 5,RPL7A,-0.82319,-1.2704
grna,day 13,PLRG1,-2.46,-2.5837
total,day 13,DDX21,-2.8125,-5.0139
grna,day 21,EIF2S3,-1.8554,-2.3666
total,day 5,AATF,-1.5801,-1.3365
grna,day 13,EIF1AX,-2.0277,-3.4282
total,day 13,LSM2,-4.0271,-4.8098
grna,day 21,VARS1,-1.7406,-2.6186
total,day 21,GARS1,-3.7138,-2.6498
grna,day 5,SYNCRIP,-1.6216,0.18062
total,day 5,CPSF1,-0.48717,-0.85522
grna,day 13,MTDH,1.035,-0.82222
total,day 13,WDR33,-1.6921,-3.9808
grna,day 21,SETD1B,-2.2321,-0.69814
total,day 21,NCBP2,-3.5512,-4.0513
grna,day 5,EIF3K,-1.332,-0.093597
total,day 5,DDX21,-0.014855,-1.0764
grna,day 13,LSM3,-1.378,-2.6217
total,day 13,GTF2E2,-2.8373,-3.783
grna,day 21,MRPL44,-2.9359,-2.02
total,day 21,SUPT5H,-3.7318,-4.1888
grna,day 5,TRIM28,0.28197,-0.93688
total,day 13,CSE1L,-3.2142,-3.7189
grna,day 21,RPL12,-2.2307,0.3074
total,day 21,RUVBL2,-3.6757,-2.3195
grna,day 5,CNOT6L,-1.2234,0.24147
total,day 5,RPS25,-1.1279,-1.2855
grna,day 13,SPEN,0.37148,-2.3823
total,day 13,NOL10,-4.933,-4.0765
grna,day 5,RPL12,-1.2842,-0.16277
total,day 5,EIF3G,-0.6711,-1.0087
grna,day 13,RPS15,-2.5046,-0.72938
total,day 13,PHB1,-3.3205,-3.9279
grna,day 21,SETD1A,-1.9068,-1.8848
total,day 21,RTCB,-3.1659,-3.8331
total,day 5,HNRNPA1,-1.3077,-0.28755
grna,day 13,MAT2A,-0.44288,-1.2966
grna,day 21,SMC1A,-2.304,-0.86532
total,day 21,NSF,-3.0467,-3.3408
grna,day 5,MRPL13,-0.38764,-1.5285
total,day 5,INTS8,-0.81196,-0.99345
grna,day 13,RPL26,-2.7115,-1.8692
grna,day 21,PUM2,-0.65444,-0.093113
total,day 21,RPS28,-3.6877,-4.0101
grna,day 5,MRPS18C,-0.50207,-1.4962
total,day 13,PCBP1,-3.6988,-2.6052
grna,day 21,COA6,-2.231,-1.1522
grna,day 5,SNTB1,-1.2029,-0.21752
total,day 5,BAG4,-0.17257,-0.87154
grna,day 13,URM1,-0.68725,-2.7925
total,day 13,WTAP,-4.9784,-3.4729
total,day 21,SNUPN,-4.178,-1.7096
grna,day 5,DIS3L2,-0.16095,0.27717
total,day 5,SF3B4,-1.2435,-0.67937
total,day 13,EIF2B4,-4.852,-3.1026
grna,day 21,NBPF10,-1.6353,-2.4376
total,day 21,IPO13,-2.4147,-4.3227
grna,day 5,LSM8,-0.042314,-1.542
total,day 5,COPZ1,-1.2388,-1.1616
grna,day 13,EIF2B2,-1.5339,-2.5212
total,day 13,SF1,-4.652,-3.377
grna,day 21,ZCCHC8,-0.82159,-2.3704
total,day 21,RPS26,-3.1362,-3.4488
grna,day 5,MRPL24,-1.1338,0.22235
total,day 5,C15ORF52,-1.2013,-0.95484
grna,day 13,MRPL10,-1.4688,-1.7793
total,day 13,MRPL44,-3.076,-3.603
grna,day 21,OSGEP,-2.2064,-3.0364
total,day 21,LSM10,-0.069722,-3.2631
grna,day 5,TRMT1,0.74817,-1.0862
total,day 5,CCT2,-0.67545,-0.4778
grna,day 13,WTAP,-2.6985,-1.144
total,day 13,NUBP1,-2.0043,-4.4781
grna,day 21,NUDT21,-2.5912,-2.2934
grna,day 5,FXR2,0.15501,-1.0309
grna,day 13,DDX41,-2.5954,-0.98704
total,day 13,FARSA,-2.8174,-3.3701
grna,day 21,RPL38,-2.2308,-2.02
total,day 21,TSFM,-4.0991,-2.8895
grna,day 5,ACIN1,0.19892,-1.5356
total,day 5,RPS10,-1.5273,-1.2063
grna,day 13,EARS2,-0.53518,-2.5539
total,day 13,FBL,-4.879,-3.8562
grna,day 21,RCC1L,-0.62013,-2.3355
total,day 21,MRPS16,-4.2546,-1.7923
grna,day 5,S100A16,0.22389,-1.0469
total,day 5,SF3A2,-0.79748,-1.0047
grna,day 13,MRPL2,0.48431,-1.7216
total,day 13,RPS11,-4.8662,-3.955
grna,day 21,CC2D1B,0.3973,-1.551
grna,day 5,SUPT4H1,0.20725,-0.86499
total,day 5,METTL15,0.35295,-1.4532
grna,day 13,CARS1,-2.8869,-1.4114
total,day 13,AQR,-2.8996,-4.94
grna,day 21,VIRMA,-0.87261,-2.125
total,day 21,MOCS3,-0.86154,-3.3303
total,day 5,RPL35,-0.95152,-1.0258
grna,day 13,NXF2B,-1.2202,-1.6764
total,day 13,EXOSC2,-5.7,-4.2837
grna,day 21,PNPT1,-0.84296,-1.9599
total,day 21,CCT7,-3.8434,-2.8569
grna,day 5,PUS7,-0.89608,-0.041371
grna,day 13,MRPL44,-2.073,-1.3042
grna,day 21,EXOSC8,-2.3986,-1.8291
total,day 21,RPL37,-4.3802,-4.2763
grna,day 5,EXOSC7,-1.5322,0.34273
total,day 5,RPL18,-1.0521,-0.49966
grna,day 13,RPL10A,-2.3852,-3.2475
total,day 13,XRCC5,-1.622,-3.7464
grna,day 21,RRM1,-1.6534,-2.3449
total,day 21,POLR2D,-4.1851,-2.8642
grna,day 5,SNTB2,0.59832,-0.93039
total,day 5,RPS12,-0.92312,-0.43822
grna,day 13,ZNHIT6,-2.0162,0.21391
grna,day 21,POLR2H,-1.3792,-1.1019
total,day 21,RAN,-2.9041,-3.7536
grna,day 5,ANP32A,-0.93378,-0.48431
grna,day 13,PPAN,-1.8783,-2.5225
grna,day 21,GEMIN6,-1.9176,0.10203
total,day 21,DCAF13,-2.6112,-3.2934
grna,day 5,SNU13,0.56988,-1.4478
total,day 5,LSM7,-0.61433,-0.92657
grna,day 13,RPS15A,-1.2981,-1.5571
total,day 13,EIF4E,-4.9802,-4.3538
grna,day 21,TDRD7,-0.16469,1.2319
total,day 21,ALG13,-1.8161,-3.5882
grna,day 5,DDX54,-1.7505,0.15622
total,day 5,RPL13A,-0.27479,-1.155
total,day 13,IPO13,-2.9424,-3.4335
grna,day 21,CSTF1,-3.0495,-0.74631
total,day 21,U2SURP,-4.3723,-2.6547
grna,day 5,EIF2D,-1.7356,-0.54463
grna,day 13,ELP2,-2.3134,-0.97107
total,day 13,SF3B4,-3.3223,-3.6897
grna,day 21,NFS1,-2.4503,-1.0387
