treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,VARS2,0.16613,0.088409,0.037197,day5,0.45195,NA
heavy,mono,rep1,RBFOX3,0.17685,0.088906,0.037677,day13,1.5251,NA
heavy,mono,rep1,RBFOX3,0.17685,0.088906,0.037677,day5,0.13401,NA
heavy,mono,rep1,DNAJA1,0.1327,1,0.038157,day13,-1.2772,0.28842
heavy,mono,rep1,DNAJA1,0.1327,1,0.038157,day5,0.041975,NA
heavy,mono,rep1,SF3B3,0.25259,0.084017,0.033007,day13,-2.8295,0.057401
heavy,mono,rep1,SF3B3,0.25259,0.084017,0.033007,day5,-1.1168,0.186119
heavy,mono,rep1,METTL1,0.12773,0.089698,0.038397,day13,0.99472,NA
heavy,mono,rep1,METTL1,0.12773,0.089698,0.038397,day5,0.5467,NA
heavy,mono,rep1,PATL1,-0.0027978,1,0.52218,day13,0.77986,NA
heavy,mono,rep1,PATL1,-0.0027978,1,0.52218,day5,-0.086195,NA
heavy,mono,rep1,RNASET2,0.151,0.089698,0.038868,day13,1.2808,NA
heavy,mono,rep1,RNASET2,0.151,0.089698,0.038868,day5,0.84017,NA
heavy,mono,rep1,SART1,0.21769,0.089698,0.038936,day13,-2.2013,0.088744
heavy,mono,rep1,SART1,0.21769,0.089698,0.038936,day5,-0.30728,0.266519
heavy,mono,rep1,CTTN,0.11252,1,0.039067,day13,0.1558,NA
