sgrna,sample_name,rep1,rep2
WDR43_4_1,heavy,-0.99016,-0.79533
IARS1_3_4,heavy,-0.77856,-0.90532
CCT6A_3_4,heavy,-0.92267,-0.82007
RPL5_4_1,heavy,-3.5707,-2.9791
RPS25_4_1,heavy,-0.90387,-0.54116
POP5_1_2,heavy,-0.79727,-0.77929
DDX10_3_4,heavy,-0.85547,-0.70428
NOL10_3_4,heavy,-0.8171,-0.95493
DDX56_2_3,heavy,-3.0849,-2.4536
PWP2_4_1,heavy,-0.59089,-0.38815
MRTO4_2_3,heavy,-0.79612,-0.87803
CCT7_3_4,heavy,-0.82089,-1.0791
RPLP2_2_3,heavy,-3.4402,-3.5285
UTP20_1_2,heavy,-0.75005,-0.62346
TRMT112_3_4,heavy,-0.50122,-0.56602
RPL10_1_2,heavy,-2.6178,-3.115
DHX35_3_4,heavy,0.8474,-0.030596
CCT7_1_2,heavy,-1.2151,-1.4411
EIF2B4_3_4,heavy,-0.91187,-0.9189
NUP98_3_4,heavy,-1.1121,-0.85792
RARS1_3_4,heavy,-0.66623,-0.43418
RPL11_3_4,heavy,-3.4648,-0.52495
