gene,day,lfc,essential,n
CCDC137,21,-1.3076,non-essential,1401
CCDC137,13,-0.38158,non-essential,1401
CCDC137,5,0.15502,non-essential,1401
CCDC43,5,0.32291,essential,785
CCDC43,13,0.92612,essential,785
CCDC43,21,0.095759,essential,785
CCDC47,5,0.10407,non-essential,1401
CCDC47,21,1.7633,non-essential,1401
CCDC47,13,1.0927,non-essential,1401
CCDC59,21,-0.73443,essential,785
CCDC59,13,-0.080996,essential,785
CCDC59,5,0.11869,essential,785
CCDC86,21,-0.022421,essential,785
CCDC86,13,-0.27739,essential,785
CCDC86,5,0.02884,essential,785
CCDC9,5,-0.20495,non-essential,1401
CCDC9,13,0.24673,non-essential,1401
CCDC9,21,0.39415,non-essential,1401
CCNT1,13,0.45443,non-essential,1401
CCNT1,21,1.2302,non-essential,1401
CCNT1,5,0.037614,non-essential,1401
CCNT2,5,0.13959,non-essential,1401
CCNT2,13,0.81537,non-essential,1401
CCNT2,21,1.8499,non-essential,1401
CCR4,21,2.0206,non-essential,1401
CCR4,5,0.065722,non-essential,1401
CCR4,13,1.3373,non-essential,1401
CCT2,5,-0.58458,essential,785
CCT2,13,-3.7028,essential,785
CCT2,21,-3.8981,essential,785
CCT3,21,-5.1764,essential,785
CCT3,13,-4.6342,essential,785
CCT3,5,-0.56606,essential,785
CCT4,21,-4.7697,essential,785
CCT4,5,-0.66837,essential,785
CCT4,13,-5.2175,essential,785
CCT6A,21,-5.0161,essential,785
CCT6A,13,-5.5279,essential,785
CCT6A,5,-0.8875,essential,785
CCT7,13,-5.6669,essential,785
CCT7,21,-4.752,essential,785
CCT7,5,-1.0727,essential,785
CCT8,5,-0.30463,essential,785
CCT8,21,-2.5679,essential,785
CCT8,13,-1.2721,essential,785
CD2BP2,21,0.53554,non-essential,1401
CD2BP2,13,0.53263,non-essential,1401
CD2BP2,5,0.23298,non-essential,1401
CD44,5,0.28649,non-essential,1401
CD44,21,1.2884,non-essential,1401
CD44,13,1.0144,non-essential,1401
CDC40,5,-0.41856,essential,785
CDC40,13,-1.8616,essential,785
CDC40,21,-1.4656,essential,785
CDC42EP4,5,0.34975,non-essential,1401
CDC42EP4,13,1.4389,non-essential,1401
CDC42EP4,21,2.2153,non-essential,1401
