sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL41,4,0.00134,0.0050977,0.010899,202,4,0.99866,0.99879,NA,1989,0,-0.39683,0.0050977,0.010899,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,XRCC5,4,0.0012819,0.0048893,0.010505,201,4,0.99872,0.99887,NA,1990,0,-0.48081,0.0048893,0.010505,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,BYSL,4,0.0012661,0.0048576,0.010505,199,4,0.99873,0.99891,NA,1991,0,-0.46845,0.0048576,0.010505,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS4X,3,0.0011634,0.003526,0.008227,195,3,0.99884,0.99893,NA,1995,0,-1.0866,0.003526,0.008227,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOP14,4,0.0010767,0.004133,0.009342,191,4,0.99892,0.99908,NA,1998,0,-0.49582,0.004133,0.009342,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL7L1,4,7.827e-4,0.0029735,0.007169,177,4,0.99903,0.99917,NA,2004,0,-1.2738,0.0029735,0.007169,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UTP4,4,9.3407e-4,0.0036076,0.008373,185,4,0.99907,0.99922,NA,2005,0,-0.73491,0.0036076,0.008373,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EMG1,4,8.8864e-4,0.0034626,0.008123,183,4,0.99911,0.99925,NA,2007,0,-0.53408,0.0034626,0.008123,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOL10,4,7.2846e-4,0.002747,0.006758,174,4,0.99927,0.99932,NA,2015,0,-0.47475,0.002747,0.006758,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NVL,4,7.1098e-4,0.0027062,0.006711,173,4,0.99929,0.99934,NA,2016,0,-0.65168,0.0027062,0.006711,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RIOK3,4,7.0387e-4,0.00267,0.00666,171,4,0.9993,0.99934,NA,2018,0,-0.38065,0.00267,0.00666,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TMA16,3,4.7915e-4,0.0015422,0.004359,161,3,0.99952,0.99958,NA,2027,0,-1.4912,0.0015422,0.004359,3,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS18,3,4.6006e-4,0.0014879,0.004276,160,3,0.99954,0.99959,NA,2028,0,-2.0038,0.0014879,0.004276,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS25,4,4.3745e-4,0.001746,0.004766,157,4,0.99956,0.99957,NA,2031,0,-0.81544,0.001746,0.004766,4,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UTP3,4,4.0712e-4,0.0016237,0.004517,153,4,0.99959,0.9996,NA,2036,0,-1.2398,0.0016237,0.004517,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DCAF13,4,3.9649e-4,0.001592,0.004458,152,4,0.9996,0.99962,NA,2037,0,-0.88129,0.001592,0.004458,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,WDR12,4,5.1559e-5,1.6532e-4,7.88e-4,90,4,0.99961,0.99962,NA,2038,0,-1.6811,1.6532e-4,7.88e-4,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS27A,4,3.5725e-4,0.0014335,0.004148,149,4,0.99964,0.99964,NA,2041,0,-1.4983,0.0014335,0.004148,4,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,WDR43,4,2.2517e-4,9.3529e-4,0.002934,138,4,0.99977,0.99979,NA,2052,0,-0.92903,9.3529e-4,0.002934,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOL9,4,2.2175e-4,9.1265e-4,0.002912,136,4,0.99978,0.99979,NA,2054,0,-0.78935,9.1265e-4,0.002912,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS23,4,2.1171e-4,8.4018e-4,0.002701,135,4,0.99979,0.9998,NA,2055,0,-1.2539,8.4018e-4,0.002701,4,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL12,4,2.0926e-4,8.3565e-4,0.002701,134,4,0.99979,0.99981,NA,2056,0,-1.2368,8.3565e-4,0.002701,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL7,4,2.0845e-4,8.3112e-4,0.002701,133,4,0.99979,0.99981,NA,2057,0,-2.3355,8.3112e-4,0.002701,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL35,4,1.1209e-4,4.0537e-4,0.001585,111,4,0.9998,0.99981,NA,2058,0,-3.2314,4.0537e-4,0.001585,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UTP6,4,1.9653e-4,7.7224e-4,0.002573,130,4,0.9998,0.99981,NA,2061,0,-0.47956,7.7224e-4,0.002573,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS20,3,1.9277e-4,6.8618e-4,0.002364,129,3,0.99981,0.99983,NA,2062,0,-2.5187,6.8618e-4,0.002364,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,BMS1,4,1.6518e-4,6.4995e-4,0.002275,124,4,0.99983,0.99984,NA,2067,0,-0.54952,6.4995e-4,0.002275,4,1 40S biogenesis,sig
