sample_name,insert_num,umi_count,type
ntc_day1_bc1_grna,429,114,gDNA
ntc_day1_bc1_grna,430,273,gDNA
ntc_day1_bc1_grna,431,89,gDNA
ntc_day1_bc1_grna,432,242,gDNA
ntc_day1_bc1_grna,433,349,gDNA
ntc_day1_bc1_grna,434,359,gDNA
ntc_day1_bc1_grna,435,552,gDNA
ntc_day1_bc1_grna,436,300,gDNA
ntc_day1_bc1_grna,437,1354,gDNA
ntc_day1_bc1_grna,438,706,gDNA
ntc_day1_bc1_grna,439,267,gDNA
ntc_day1_bc1_grna,440,110,gDNA
ntc_day1_bc1_grna,441,614,gDNA
ntc_day1_bc1_grna,442,1200,gDNA
ntc_day1_bc1_grna,443,141,gDNA
ntc_day1_bc1_grna,444,615,gDNA
ntc_day1_bc1_grna,445,337,gDNA
ntc_day1_bc1_grna,446,703,gDNA
ntc_day1_bc1_grna,447,170,gDNA
ntc_day1_bc1_grna,448,45,gDNA
ntc_day1_bc1_grna,449,163,gDNA
ntc_day1_bc1_grna,450,552,gDNA
ntc_day1_bc1_grna,451,253,gDNA
ntc_day1_bc1_grna,452,45,gDNA
ntc_day1_bc1_grna,453,886,gDNA
ntc_day1_bc1_grna,454,224,gDNA
ntc_day1_bc1_grna,455,165,gDNA
ntc_day1_bc1_grna,456,457,gDNA
ntc_day1_bc1_grna,457,472,gDNA
ntc_day1_bc1_grna,458,295,gDNA
ntc_day1_bc1_grna,459,18,gDNA
ntc_day1_bc1_grna,460,284,gDNA
ntc_day1_bc1_grna,461,512,gDNA
ntc_day1_bc1_grna,462,505,gDNA
ntc_day1_bc1_grna,463,177,gDNA
ntc_day1_bc1_grna,464,62,gDNA
ntc_day1_bc1_grna,465,1026,gDNA
ntc_day1_bc1_grna,466,100,gDNA
ntc_day1_bc1_grna,467,729,gDNA
ntc_day1_bc1_grna,468,664,gDNA
ntc_day1_bc1_grna,469,45,gDNA
ntc_day1_bc1_grna,470,125,gDNA
ntc_day1_bc1_grna,471,84,gDNA
ntc_day1_bc1_grna,472,486,gDNA
ntc_day1_bc1_grna,473,53,gDNA
ntc_day1_bc1_grna,474,139,gDNA
ntc_day1_bc1_grna,475,1268,gDNA
ntc_day1_bc1_grna,476,481,gDNA
ntc_day1_bc1_grna,477,424,gDNA
ntc_day1_bc1_grna,478,171,gDNA
ntc_day1_bc1_grna,479,366,gDNA
ntc_day1_bc1_grna,480,126,gDNA
ntc_day1_bc1_grna,481,106,gDNA
ntc_day1_bc1_grna,482,734,gDNA
ntc_day1_bc1_grna,483,27,gDNA
ntc_day1_bc1_grna,484,4,gDNA
ntc_day1_bc1_grna,485,5,gDNA
ntc_day1_bc1_grna,486,395,gDNA
ntc_day1_bc1_grna,487,374,gDNA
ntc_day1_bc1_grna,488,660,gDNA
ntc_day1_bc1_grna,489,180,gDNA
ntc_day1_bc1_grna,490,1200,gDNA
ntc_day1_bc1_grna,491,191,gDNA
ntc_day1_bc1_grna,492,59,gDNA
ntc_day1_bc1_grna,493,482,gDNA
ntc_day1_bc1_grna,494,185,gDNA
ntc_day1_bc1_grna,495,858,gDNA
ntc_day1_bc1_grna,496,1087,gDNA
ntc_day1_bc1_grna,497,1378,gDNA
ntc_day1_bc1_grna,498,14,gDNA
ntc_day1_bc1_grna,499,423,gDNA
ntc_day1_bc1_grna,500,472,gDNA
ntc_day1_bc1_grna,501,161,gDNA
ntc_day1_bc1_grna,502,68,gDNA
ntc_day1_bc1_grna,503,90,gDNA
ntc_day1_bc1_grna,504,133,gDNA
ntc_day1_bc1_grna,505,624,gDNA
ntc_day1_bc1_grna,506,834,gDNA
ntc_day1_bc1_grna,507,1148,gDNA
ntc_day1_bc1_grna,508,742,gDNA
ntc_day1_bc1_grna,509,442,gDNA
ntc_day1_bc1_grna,510,140,gDNA
ntc_day1_bc1_grna,511,426,gDNA
ntc_day1_bc1_grna,512,218,gDNA
ntc_day1_bc1_grna,513,547,gDNA
ntc_day1_bc1_grna,514,418,gDNA
ntc_day1_bc1_grna,515,450,gDNA
ntc_day1_bc1_grna,516,1298,gDNA
ntc_day1_bc1_grna,517,539,gDNA
ntc_day1_bc1_grna,518,344,gDNA
ntc_day1_bc1_grna,519,960,gDNA
ntc_day1_bc1_grna,520,412,gDNA
ntc_day1_bc1_grna,521,138,gDNA
ntc_day1_bc1_grna,522,983,gDNA
ntc_day1_bc1_grna,523,407,gDNA
ntc_day1_bc1_grna,524,356,gDNA
ntc_day1_bc1_grna,525,283,gDNA
ntc_day1_bc1_grna,526,295,gDNA
ntc_day1_bc1_grna,527,580,gDNA
ntc_day1_bc1_grna,528,165,gDNA
ntc_day1_bc1_grna,529,1259,gDNA
ntc_day1_bc1_grna,530,653,gDNA
ntc_day1_bc1_grna,531,192,gDNA
ntc_day1_bc1_grna,532,163,gDNA
ntc_day1_bc1_grna,533,74,gDNA
ntc_day1_bc1_grna,534,1258,gDNA
ntc_day1_bc1_grna,535,124,gDNA
ntc_day1_bc1_grna,536,569,gDNA
ntc_day1_bc1_grna,537,218,gDNA
ntc_day1_bc1_grna,538,489,gDNA
ntc_day1_bc1_grna,539,1093,gDNA
ntc_day1_bc1_grna,540,273,gDNA
ntc_day1_bc1_grna,541,477,gDNA
ntc_day1_bc1_grna,542,61,gDNA
ntc_day1_bc1_grna,543,695,gDNA
ntc_day1_bc1_grna,544,235,gDNA
ntc_day1_bc1_grna,545,589,gDNA
ntc_day1_bc1_grna,546,66,gDNA
ntc_day1_bc1_grna,547,737,gDNA
ntc_day1_bc1_grna,548,588,gDNA
ntc_day1_bc1_grna,549,112,gDNA
ntc_day1_bc1_grna,550,87,gDNA
ntc_day1_bc1_grna,551,348,gDNA
ntc_day1_bc1_grna,552,247038,gDNA
ntc_day1_bc1_grna,553,1149,gDNA
ntc_day1_bc1_grna,554,3,gDNA
ntc_day1_bc1_grna,555,462,gDNA
ntc_day1_bc1_grna,556,334850,gDNA
ntc_day1_bc1_grna,557,1532,gDNA
ntc_day1_bc1_grna,558,443,gDNA
ntc_day1_bc1_grna,559,161,gDNA
ntc_day1_bc1_grna,560,352,gDNA
ntc_day1_bc1_grna,561,913,gDNA
ntc_day1_bc1_grna,562,178,gDNA
ntc_day1_bc1_grna,563,886,gDNA
ntc_day1_bc1_grna,564,1277,gDNA
ntc_day1_bc1_grna,565,181,gDNA
ntc_day1_bc1_grna,566,705,gDNA
ntc_day1_bc1_grna,567,241,gDNA
ntc_day1_bc1_grna,568,69,gDNA
ntc_day1_bc1_grna,569,1129,gDNA
ntc_day1_bc1_grna,570,539,gDNA
ntc_day1_bc1_grna,571,197,gDNA
ntc_day1_bc1_grna,572,350,gDNA
ntc_day1_bc1_grna,573,42,gDNA
ntc_day1_bc1_grna,574,80,gDNA
ntc_day1_bc1_grna,575,448,gDNA
ntc_day1_bc1_grna,576,1086,gDNA
ntc_day1_bc1_grna,577,618,gDNA
ntc_day1_bc1_grna,578,360,gDNA
ntc_day1_bc1_grna,579,182,gDNA
ntc_day1_bc1_grna,580,206,gDNA
ntc_day1_bc1_grna,581,67,gDNA
ntc_day1_bc1_grna,582,725,gDNA
ntc_day1_bc1_grna,583,1142,gDNA
ntc_day1_bc1_grna,584,192,gDNA
ntc_day1_bc1_grna,585,908,gDNA
ntc_day1_bc1_grna,586,64,gDNA
ntc_day1_bc1_grna,587,141,gDNA
ntc_day1_bc1_grna,588,257,gDNA
ntc_day1_bc1_grna,589,1140,gDNA
ntc_day1_bc1_grna,590,593,gDNA
ntc_day1_bc1_grna,591,1021,gDNA
ntc_day1_bc1_grna,592,174,gDNA
ntc_day1_bc1_grna,593,744,gDNA
ntc_day1_bc1_grna,594,769,gDNA
ntc_day1_bc1_grna,595,200,gDNA
ntc_day1_bc1_grna,596,181,gDNA
ntc_day1_bc1_grna,597,599,gDNA
ntc_day1_bc1_grna,598,1274,gDNA
ntc_day1_bc1_grna,599,569,gDNA
ntc_day1_bc1_grna,600,1397,gDNA
ntc_day1_bc1_grna,601,238,gDNA
ntc_day1_bc1_grna,602,1068,gDNA
ntc_day1_bc1_grna,603,952,gDNA
ntc_day1_bc1_grna,604,1,gDNA
ntc_day1_bc1_grna,605,293,gDNA
ntc_day1_bc1_grna,606,413,gDNA
ntc_day1_bc1_grna,607,473,gDNA
