Distance (mm),Absorbance,sgRNA,Treatment,nuclease
30.87,0.110384,GCN1,HHT,+ micrococcal nuclease
30.97,0.110272,GCN1,HHT,+ micrococcal nuclease
31.07,0.11356999999999999,GCN1,HHT,+ micrococcal nuclease
31.17,0.116154,GCN1,HHT,+ micrococcal nuclease
31.27,0.116995,GCN1,HHT,+ micrococcal nuclease
31.37,0.121995,GCN1,HHT,+ micrococcal nuclease
31.46,0.123348,GCN1,HHT,+ micrococcal nuclease
31.57,0.129475,GCN1,HHT,+ micrococcal nuclease
31.66,0.134986,GCN1,HHT,+ micrococcal nuclease
31.76,0.14336300000000002,GCN1,HHT,+ micrococcal nuclease
31.87,0.15428999999999998,GCN1,HHT,+ micrococcal nuclease
31.96,0.170068,GCN1,HHT,+ micrococcal nuclease
32.06,0.189091,GCN1,HHT,+ micrococcal nuclease
32.17,0.21598799999999996,GCN1,HHT,+ micrococcal nuclease
32.27,0.25642499999999996,GCN1,HHT,+ micrococcal nuclease
32.36,0.299956,GCN1,HHT,+ micrococcal nuclease
32.46,0.356278,GCN1,HHT,+ micrococcal nuclease
32.56,0.43096599999999996,GCN1,HHT,+ micrococcal nuclease
32.66,0.5056809999999999,GCN1,HHT,+ micrococcal nuclease
32.76,0.616814,GCN1,HHT,+ micrococcal nuclease
32.86,0.737543,GCN1,HHT,+ micrococcal nuclease
32.96,0.817037,GCN1,HHT,+ micrococcal nuclease
33.06,0.8833409999999999,GCN1,HHT,+ micrococcal nuclease
33.16,0.990489,GCN1,HHT,+ micrococcal nuclease
33.26,1.092533,GCN1,HHT,+ micrococcal nuclease
33.36,1.191268,GCN1,HHT,+ micrococcal nuclease
33.46,1.290345,GCN1,HHT,+ micrococcal nuclease
33.56,1.370493,GCN1,HHT,+ micrococcal nuclease
33.66,1.441939,GCN1,HHT,+ micrococcal nuclease
33.76,1.512755,GCN1,HHT,+ micrococcal nuclease
33.86,1.563801,GCN1,HHT,+ micrococcal nuclease
33.96,1.607934,GCN1,HHT,+ micrococcal nuclease
34.06,1.64695,GCN1,HHT,+ micrococcal nuclease
34.15,1.673112,GCN1,HHT,+ micrococcal nuclease
34.26,1.684353,GCN1,HHT,+ micrococcal nuclease
34.35,1.697526,GCN1,HHT,+ micrococcal nuclease
34.46,1.690326,GCN1,HHT,+ micrococcal nuclease
34.56,1.685038,GCN1,HHT,+ micrococcal nuclease
34.66,1.679688,GCN1,HHT,+ micrococcal nuclease
34.76,1.648815,GCN1,HHT,+ micrococcal nuclease
34.86,1.628487,GCN1,HHT,+ micrococcal nuclease
34.95,1.593642,GCN1,HHT,+ micrococcal nuclease
35.05,1.552005,GCN1,HHT,+ micrococcal nuclease
35.15,1.512605,GCN1,HHT,+ micrococcal nuclease
35.25,1.472397,GCN1,HHT,+ micrococcal nuclease
35.35,1.429692,GCN1,HHT,+ micrococcal nuclease
35.45,1.385448,GCN1,HHT,+ micrococcal nuclease
35.55,1.348376,GCN1,HHT,+ micrococcal nuclease
35.65,1.3007,GCN1,HHT,+ micrococcal nuclease
35.75,1.262674,GCN1,HHT,+ micrococcal nuclease
35.85,1.2256259999999999,GCN1,HHT,+ micrococcal nuclease
35.95,1.188629,GCN1,HHT,+ micrococcal nuclease
36.05,1.150692,GCN1,HHT,+ micrococcal nuclease
36.15,1.126349,GCN1,HHT,+ micrococcal nuclease
36.25,1.08549,GCN1,HHT,+ micrococcal nuclease
36.35,1.044662,GCN1,HHT,+ micrococcal nuclease
36.45,1.013608,GCN1,HHT,+ micrococcal nuclease
36.55,0.976561,GCN1,HHT,+ micrococcal nuclease
36.65,0.9417899999999999,GCN1,HHT,+ micrococcal nuclease
36.75,0.912143,GCN1,HHT,+ micrococcal nuclease
36.85,0.885689,GCN1,HHT,+ micrococcal nuclease
36.95,0.852927,GCN1,HHT,+ micrococcal nuclease
37.05,0.831349,GCN1,HHT,+ micrococcal nuclease
37.15,0.80131,GCN1,HHT,+ micrococcal nuclease
37.25,0.778007,GCN1,HHT,+ micrococcal nuclease
37.35,0.748305,GCN1,HHT,+ micrococcal nuclease
37.45,0.720569,GCN1,HHT,+ micrococcal nuclease
37.55,0.686227,GCN1,HHT,+ micrococcal nuclease
37.65,0.674053,GCN1,HHT,+ micrococcal nuclease
37.75,0.656929,GCN1,HHT,+ micrococcal nuclease
37.85,0.636412,GCN1,HHT,+ micrococcal nuclease
37.95,0.60169,GCN1,HHT,+ micrococcal nuclease
38.04,0.596525,GCN1,HHT,+ micrococcal nuclease
38.15,0.58088,GCN1,HHT,+ micrococcal nuclease
38.25,0.554765,GCN1,HHT,+ micrococcal nuclease
38.35,0.5299969999999999,GCN1,HHT,+ micrococcal nuclease
38.45,0.515583,GCN1,HHT,+ micrococcal nuclease
38.54,0.49893299999999996,GCN1,HHT,+ micrococcal nuclease
38.64,0.48922199999999993,GCN1,HHT,+ micrococcal nuclease
38.74,0.47484499999999996,GCN1,HHT,+ micrococcal nuclease
38.84,0.45534299999999994,GCN1,HHT,+ micrococcal nuclease
38.94,0.43952800000000003,GCN1,HHT,+ micrococcal nuclease
39.04,0.429008,GCN1,HHT,+ micrococcal nuclease
39.14,0.409159,GCN1,HHT,+ micrococcal nuclease
39.24,0.387471,GCN1,HHT,+ micrococcal nuclease
39.34,0.382033,GCN1,HHT,+ micrococcal nuclease
39.44,0.364151,GCN1,HHT,+ micrococcal nuclease
39.54,0.356006,GCN1,HHT,+ micrococcal nuclease
39.64,0.342286,GCN1,HHT,+ micrococcal nuclease
39.74,0.33416999999999997,GCN1,HHT,+ micrococcal nuclease
39.84,0.319724,GCN1,HHT,+ micrococcal nuclease
39.94,0.314728,GCN1,HHT,+ micrococcal nuclease
40.04,0.29948199999999997,GCN1,HHT,+ micrococcal nuclease
40.14,0.296434,GCN1,HHT,+ micrococcal nuclease
40.24,0.283568,GCN1,HHT,+ micrococcal nuclease
40.34,0.274433,GCN1,HHT,+ micrococcal nuclease
40.44,0.26264299999999996,GCN1,HHT,+ micrococcal nuclease
40.54,0.265107,GCN1,HHT,+ micrococcal nuclease
40.64,0.258235,GCN1,HHT,+ micrococcal nuclease
40.73,0.249481,GCN1,HHT,+ micrococcal nuclease
40.84,0.23682399999999998,GCN1,HHT,+ micrococcal nuclease
40.94,0.237112,GCN1,HHT,+ micrococcal nuclease
41.04,0.23124299999999998,GCN1,HHT,+ micrococcal nuclease
41.13,0.222414,GCN1,HHT,+ micrococcal nuclease
41.24,0.21389999999999998,GCN1,HHT,+ micrococcal nuclease
41.34,0.209563,GCN1,HHT,+ micrococcal nuclease
41.43,0.20468199999999998,GCN1,HHT,+ micrococcal nuclease
41.54,0.201119,GCN1,HHT,+ micrococcal nuclease
41.63,0.194015,GCN1,HHT,+ micrococcal nuclease
41.73,0.18835599999999997,GCN1,HHT,+ micrococcal nuclease
41.83,0.18280000000000002,GCN1,HHT,+ micrococcal nuclease
41.93,0.17954900000000001,GCN1,HHT,+ micrococcal nuclease
42.03,0.17385699999999998,GCN1,HHT,+ micrococcal nuclease
42.13,0.16953600000000002,GCN1,HHT,+ micrococcal nuclease
42.23,0.16748000000000002,GCN1,HHT,+ micrococcal nuclease
42.33,0.163211,GCN1,HHT,+ micrococcal nuclease
42.43,0.16069,GCN1,HHT,+ micrococcal nuclease
42.53,0.158897,GCN1,HHT,+ micrococcal nuclease
42.63,0.15509299999999998,GCN1,HHT,+ micrococcal nuclease
42.73,0.15194599999999997,GCN1,HHT,+ micrococcal nuclease
42.83,0.15068900000000002,GCN1,HHT,+ micrococcal nuclease
42.93,0.147501,GCN1,HHT,+ micrococcal nuclease
43.03,0.146391,GCN1,HHT,+ micrococcal nuclease
43.13,0.14434199999999997,GCN1,HHT,+ micrococcal nuclease
43.23,0.140343,GCN1,HHT,+ micrococcal nuclease
43.33,0.13960699999999998,GCN1,HHT,+ micrococcal nuclease
43.43,0.139826,GCN1,HHT,+ micrococcal nuclease
43.53,0.140652,GCN1,HHT,+ micrococcal nuclease
43.63,0.13516699999999998,GCN1,HHT,+ micrococcal nuclease
43.72,0.13308999999999999,GCN1,HHT,+ micrococcal nuclease
43.82,0.13552399999999998,GCN1,HHT,+ micrococcal nuclease
43.92,0.13277899999999998,GCN1,HHT,+ micrococcal nuclease
44.03,0.128788,GCN1,HHT,+ micrococcal nuclease
44.12,0.12981399999999998,GCN1,HHT,+ micrococcal nuclease
44.23,0.12616499999999997,GCN1,HHT,+ micrococcal nuclease
44.33,0.12569799999999998,GCN1,HHT,+ micrococcal nuclease
44.43,0.12463,GCN1,HHT,+ micrococcal nuclease
44.52,0.12246900000000001,GCN1,HHT,+ micrococcal nuclease
44.62,0.119959,GCN1,HHT,+ micrococcal nuclease
44.72,0.119546,GCN1,HHT,+ micrococcal nuclease
44.82,0.117604,GCN1,HHT,+ micrococcal nuclease
44.92,0.11492200000000001,GCN1,HHT,+ micrococcal nuclease
45.02,0.113831,GCN1,HHT,+ micrococcal nuclease
45.12,0.114189,GCN1,HHT,+ micrococcal nuclease
45.22,0.11064999999999998,GCN1,HHT,+ micrococcal nuclease
45.32,0.11078899999999998,GCN1,HHT,+ micrococcal nuclease
45.42,0.10962499999999999,GCN1,HHT,+ micrococcal nuclease
45.52,0.10753900000000001,GCN1,HHT,+ micrococcal nuclease
45.62,0.106417,GCN1,HHT,+ micrococcal nuclease
45.72,0.104927,GCN1,HHT,+ micrococcal nuclease
45.82,0.10388399999999999,GCN1,HHT,+ micrococcal nuclease
