treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,RPL9,-3.5667,3.6e-5,2.2646e-6,day5,-1.5543,0.079733,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL38,-2.3719,3.6e-5,2.2646e-6,day13,-2.2265,0.062153,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL38,-2.3719,3.6e-5,2.2646e-6,day5,-0.083589,0.449299,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NOP16,-2.31,3.6e-5,2.2646e-6,day13,-3.8336,0.02284,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NOP16,-2.31,3.6e-5,2.2646e-6,day5,-0.1108,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL32,-2.9738,3.6e-5,2.2646e-6,day13,-3.9103,0.043702,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL32,-2.9738,3.6e-5,2.2646e-6,day5,-1.1328,0.132139,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,SDAD1,-2.2902,3.6e-5,2.2646e-6,day13,-2.5854,0.068807,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,SDAD1,-2.2902,3.6e-5,2.2646e-6,day5,0.25493,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RSL24D1,-2.2487,3.6e-5,2.2646e-6,day13,-3.439,0.029428,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RSL24D1,-2.2487,3.6e-5,2.2646e-6,day5,-0.35678,0.417794,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,BRIX1,-2.7593,3.6e-5,2.2646e-6,day13,-2.4076,0.156843,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,BRIX1,-2.7593,3.6e-5,2.2646e-6,day5,-0.46704,0.305236,"1 60S ribosome 
& biogenesis"
