treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,WDR3,-0.43548,0.016682,0.0086486,day13,-5.6515,0.023331,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,WDR3,-0.43548,0.016682,0.0086486,day7,-1.3601,0.014494,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPSA,-1.3469,0.016166,0.008232,day13,-4.3742,0.017865,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPSA,-1.3469,0.016166,0.008232,day7,-2.905,0.002456,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DHX37,-0.88924,0.013207,0.0065425,day13,-4.4971,0.052872,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DHX37,-0.88924,0.013207,0.0065425,day7,-1.6556,0.034782,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS7,-0.95225,0.013411,0.0067056,day13,-3.645,0.046584,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS7,-0.95225,0.013411,0.0067056,day7,-1.7181,0.003806,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39,-0.54319,0.013291,0.006615,day13,-4.3932,0.069235,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39,-0.54319,0.013291,0.006615,day7,-1.6544,0.032503,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL8,-3.9892,8.2e-5,6.7939e-6,day13,-7.0793,0.006022,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL8,-3.9892,8.2e-5,6.7939e-6,day7,-2.6988,0.001715,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS10,-1.4646,0.009783,0.0044183,day13,-4.1114,0.046127,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS10,-1.4646,0.009783,0.0044183,day7,-2.2976,0.028325,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK2,-0.52709,0.011195,0.0052879,day13,-0.66281,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK2,-0.52709,0.011195,0.0052879,day7,0.23678,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL41,-0.39683,0.010899,0.0050977,day13,-0.62509,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL41,-0.39683,0.010899,0.0050977,day7,-0.086812,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,XRCC5,-0.48081,0.010505,0.0048893,day13,-3.583,0.03639,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,XRCC5,-0.48081,0.010505,0.0048893,day7,-0.45042,0.295923,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,BYSL,-0.46845,0.010505,0.0048576,day13,-3.2709,0.124798,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,BYSL,-0.46845,0.010505,0.0048576,day7,-1.0723,0.110062,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4X,-1.0866,0.008227,0.003526,day13,-4.4646,0.059156,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4X,-1.0866,0.008227,0.003526,day7,-3.4148,0.005077,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3B,-1.274,0.00957,0.0042643,day13,-3.8973,0.040167,5 EIF3
heavy,mono,rep1,EIF3B,-1.274,0.00957,0.0042643,day7,-2.4609,0.011556,5 EIF3
