sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AEN,4,0.45901,0.60932,NA,1204,2,0.87924,0.87999,NA,1798,0,-0.17221,0.60932,1,2,PTC,Other,10,28
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFDN,4,0.26851,0.41776,NA,868,1,0.13959,0.28271,0.31239,647,3,0.37405,0.28271,0.31239,3,NTC,Other,10,29
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFDN,4,0.099305,0.21444,0.273518,490,3,0.96409,0.96407,NA,2020,0,-0.42792,0.21444,0.273518,3,PTC,Other,10,29
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFF1,4,0.92633,0.92609,NA,1954,0,0.046481,0.12001,NA,314,2,0.80877,0.12001,1,2,NTC,Other,10,30
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFF1,4,0.38314,0.53531,NA,1060,1,0.13349,0.27346,0.30462,577,3,0.53913,0.27346,0.30462,3,PTC,Other,10,30
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFF2,4,0.90358,0.90395,NA,1897,0,0.30865,0.46485,NA,1010,2,0.27566,0.46485,1,2,NTC,Other,10,31
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFF2,4,0.33048,0.48252,NA,960,2,0.83618,0.83836,NA,1695,1,-0.27615,0.48252,1,2,PTC,Other,10,31
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFF3,4,0.18265,0.33312,NA,718,2,0.81745,0.82112,NA,1683,1,-0.53885,0.33312,1,2,NTC,Other,10,32
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFF3,4,0.34549,0.49817,NA,989,2,0.71229,0.7531,NA,1480,1,-0.12069,0.49817,1,2,PTC,Other,10,32
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFF4,4,0.15444,0.30495,NA,662,1,0.28047,0.43772,NA,948,1,0.075325,0.43772,1,1,NTC,Other,10,33
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFF4,4,0.61154,0.69241,NA,1364,1,0.82646,0.8302,NA,1666,1,-0.057277,0.69241,1,1,PTC,Other,10,33
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AFP,3,0.29621,0.43328,NA,912,1,0.14798,0.25366,NA,674,2,0.58258,0.25366,1,2,NTC,Other,10,34
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AFP,4,0.4306,0.58146,NA,1145,2,0.30153,0.45925,NA,883,2,-0.011676,0.58146,1,2,PTC,Other,10,34
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AGFG1,4,0.43371,0.58171,NA,1155,2,0.16302,0.32117,NA,721,2,0.24611,0.32117,1,2,NTC,Other,10,35
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AGFG1,4,0.65727,0.71531,NA,1423,1,0.20338,0.36424,NA,720,2,0.28399,0.36424,1,2,PTC,Other,10,35
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AGO1,4,0.094397,0.20577,0.264661,471,3,0.60055,0.69553,NA,1429,1,-0.65111,0.20577,0.264661,3,NTC,Other,10,36
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AGO1,4,0.55413,0.66579,NA,1312,1,0.73531,0.7665,NA,1512,1,0.066988,0.7665,1,1,PTC,Other,10,36
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AGO2,4,0.82205,0.82236,NA,1683,1,0.57362,0.68389,NA,1407,1,-0.16862,0.82236,1,1,NTC,Other,10,37
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AGO2,4,0.10707,0.22784,0.281195,516,3,0.76339,0.78433,NA,1553,1,-0.37991,0.22784,0.281195,3,PTC,Other,10,37
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AGO3,4,0.99352,0.99365,NA,2161,0,0.0064781,0.022132,0.192498,58,4,0.73037,0.022132,0.192498,4,NTC,Other,10,38
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,AGO3,4,0.099611,0.21497,NA,492,1,0.0066722,0.022934,NA,141,2,0.18242,0.022934,1,2,PTC,Other,10,38
